Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,19,15,39,2
1,21,15,81,2
0,20,16,6,3
0,23,16,77,2
0,31,17,40,2
0,22,17,76,2
0,35,18,6,3
0,23,18,94,2
1,64,19,3,0
0,30,19,72,2
1,67,19,14,0
0,35,19,99,2
0,58,20,15,0
0,24,20,77,2
1,37,20,13,3
1,22,20,79,2
0,35,21,35,3
1,20,21,66,2
1,52,23,29,0
0,35,23,98,2
1,35,24,35,3
1,25,24,73,2
0,46,25,5,0
1,31,25,73,2
0,54,28,14,0
1,29,28,82,2
0,45,28,32,0
1,35,28,61,2
0,40,29,31,0
0,23,29,87,2
1,60,30,4,0
0,21,30,73,2
1,53,33,4,0
1,18,33,92,2
0,49,33,14,0
0,21,33,81,2
0,42,34,17,0
0,30,34,73,2
0,36,37,26,3
0,20,37,75,2
0,65,38,35,0
1,24,38,92,2
1,48,39,36,0
0,31,39,61,2
0,49,39,28,0
0,24,39,65,2
0,50,40,55,0
0,27,40,47,3
0,29,40,42,3
0,31,40,42,3
0,49,42,52,0
1,33,42,60,2
0,31,43,54,3
1,59,43,60,0
0,50,43,45,0
1,47,43,41,0
0,51,44,50,0
1,69,44,46,0
0,27,46,51,3
1,53,46,46,0
1,70,46,56,0
1,19,46,55,3
0,67,47,52,0
0,54,47,59,0
1,63,48,51,0
1,18,48,59,3
0,43,48,50,0
0,68,48,48,0
1,19,48,59,3
0,32,48,47,3
1,70,49,55,0
0,47,49,42,0
0,60,50,49,0
0,60,50,56,0
1,59,54,47,0
1,26,54,54,3
0,45,54,53,0
1,40,54,48,3
0,23,54,52,3
0,49,54,42,0
1,57,54,51,0
1,38,54,55,3
1,67,54,41,0
0,46,54,44,0
0,21,54,57,3
1,48,54,46,0
0,55,57,58,0
0,22,57,55,3
0,34,58,60,3
0,50,58,46,0
0,68,59,55,0
1,18,59,41,3
1,48,60,49,0
0,40,60,40,3
0,32,60,42,3
1,24,60,52,3
0,47,60,47,0
0,27,60,50,3
1,48,61,42,0
1,20,61,49,3
0,23,62,41,3
0,49,62,48,0
1,67,62,59,0
1,26,62,55,3
1,49,62,56,0
0,21,62,42,3
0,66,63,50,0
1,54,63,46,0
1,68,63,43,0
1,66,63,48,0
1,65,63,52,0
0,19,63,54,3
0,38,64,42,3
1,19,64,46,3
0,18,65,48,3
0,19,65,50,3
0,63,65,43,0
0,49,65,59,0
0,51,67,43,0
0,50,67,57,0
1,27,67,56,3
0,38,67,40,3
0,40,69,58,1
1,39,69,91,1
0,23,70,29,3
0,31,70,77,1
1,43,71,35,4
1,40,71,95,1
1,59,71,11,4
1,38,71,75,1
1,47,71,9,4
1,39,71,75,1
0,25,72,34,3
0,31,72,71,1
1,20,73,5,3
0,29,73,88,1
0,44,73,7,4
1,32,73,73,1
1,19,74,10,3
0,35,74,72,1
0,57,75,5,4
1,32,75,93,1
0,28,76,40,3
0,32,76,87,1
1,25,77,12,3
1,28,77,97,1
1,48,77,36,4
0,32,77,74,1
0,34,78,22,4
1,34,78,90,1
1,43,78,17,4
1,39,78,88,1
0,44,78,20,4
0,38,78,76,1
0,47,78,16,4
0,27,78,89,1
1,37,78,1,4
0,30,78,78,1
1,34,78,1,4
0,30,78,73,1
0,56,79,35,4
0,29,79,83,1
1,19,81,5,3
0,31,81,93,1
1,50,85,26,4
0,36,85,75,1
1,42,86,20,4
0,33,86,95,1
0,36,87,27,4
1,32,87,63,1
1,40,87,13,4
1,28,87,75,1
1,36,87,10,4
1,36,87,92,1
0,52,88,13,4
0,30,88,86,1
1,58,88,15,4
1,27,88,69,1
1,59,93,14,4
1,35,93,90,1
0,37,97,32,4
0,32,97,86,1
1,46,98,15,4
0,29,98,88,1
0,41,99,39,4
1,30,99,97,1
0,54,101,24,4
1,28,101,68,1
0,41,103,17,4
0,36,103,85,1
0,34,103,23,4
0,32,103,69,1
1,33,113,8,4
0,38,113,91,1
0,47,120,16,4
0,35,120,79,1
0,45,126,28,4
1,32,126,74,1
1,32,137,18,4
1,30,137,83,1
